Instance,N,K,Min Ratio,Average Ratio,Max Ratio,Min Time,Average Time,Max Time,Standard Deviation (Ratio),Standard Deviation (Time)
pmed1,100,5,1.026,1.026,1.026,0.040,0.040,0.040,0.000,0.000
pmed2,100,10,1.024,1.024,1.024,0.006,0.006,0.006,0.000,0.000
pmed3,100,10,1.010,1.010,1.010,0.006,0.006,0.006,0.000,0.000
pmed4,100,20,1.113,1.113,1.113,0.007,0.007,0.007,0.000,0.000
pmed5,100,33,1.324,1.324,1.324,0.007,0.007,0.007,0.000,0.000
pmed6,200,5,1.031,1.031,1.031,0.007,0.007,0.007,0.000,0.000
pmed7,200,10,1.057,1.057,1.057,0.008,0.008,0.008,0.000,0.000
pmed8,200,20,1.212,1.212,1.212,0.011,0.011,0.011,0.000,0.000
pmed9,200,40,1.119,1.119,1.119,0.013,0.013,0.013,0.000,0.000
pmed10,200,67,1.478,1.478,1.478,0.016,0.016,0.016,0.000,0.000
pmed11,300,5,1.032,1.032,1.032,0.010,0.010,0.010,0.000,0.000
pmed12,300,10,1.044,1.044,1.044,0.013,0.013,0.013,0.000,0.000
pmed13,300,30,1.106,1.106,1.106,0.015,0.015,0.015,0.000,0.000
pmed14,300,60,1.393,1.393,1.393,0.013,0.013,0.013,0.000,0.000
pmed15,300,100,1.337,1.337,1.337,0.025,0.025,0.025,0.000,0.000
pmed16,400,5,1.002,1.002,1.002,0.013,0.013,0.013,0.000,0.000
pmed17,400,10,1.034,1.034,1.034,0.017,0.017,0.017,0.000,0.000
pmed18,400,40,1.151,1.151,1.151,0.020,0.020,0.020,0.000,0.000
pmed19,400,80,1.149,1.149,1.149,0.024,0.024,0.024,0.000,0.000
pmed20,400,133,1.432,1.432,1.432,0.028,0.028,0.028,0.000,0.000
pmed21,500,5,1.000,1.000,1.000,0.016,0.016,0.016,0.000,0.000
pmed22,500,10,1.024,1.024,1.024,0.019,0.019,0.019,0.000,0.000
pmed23,500,50,1.086,1.086,1.086,0.029,0.029,0.029,0.000,0.000
pmed24,500,100,1.180,1.180,1.180,0.044,0.044,0.044,0.000,0.000
pmed25,500,167,1.583,1.583,1.583,0.023,0.023,0.023,0.000,0.000
pmed26,600,5,1.004,1.004,1.004,0.018,0.018,0.018,0.000,0.000
pmed27,600,10,1.020,1.020,1.020,0.022,0.022,0.022,0.000,0.000
pmed28,600,60,1.120,1.120,1.120,0.032,0.032,0.032,0.000,0.000
pmed29,600,120,1.320,1.320,1.320,0.035,0.035,0.035,0.000,0.000
pmed30,600,200,1.436,1.436,1.436,0.053,0.053,0.053,0.000,0.000
pmed31,700,5,1.023,1.023,1.023,0.021,0.021,0.021,0.000,0.000
pmed32,700,10,1.003,1.003,1.003,0.027,0.027,0.027,0.000,0.000
pmed33,700,70,1.125,1.125,1.125,0.048,0.048,0.048,0.000,0.000
pmed34,700,140,1.415,1.415,1.415,0.033,0.033,0.033,0.000,0.000
pmed35,800,5,1.000,1.000,1.000,0.024,0.024,0.024,0.000,0.000
pmed36,800,10,1.018,1.018,1.018,0.029,0.029,0.029,0.000,0.000
pmed37,800,80,1.115,1.115,1.115,0.062,0.062,0.062,0.000,0.000
pmed38,900,5,1.004,1.004,1.004,0.034,0.034,0.034,0.000,0.000
pmed39,900,10,1.002,1.002,1.002,0.035,0.035,0.035,0.000,0.000
pmed40,900,90,1.087,1.087,1.087,0.082,0.082,0.082,0.000,0.000
