Instance,N,K,Min Ratio,Average Ratio,Max Ratio,Min Time,Average Time,Max Time,Standard Deviation (Ratio),Standard Deviation (Time)
pmed1,100,5,1.036,1.036,1.036,0.179,0.179,0.179,0.000,0.000
pmed2,100,10,1.050,1.050,1.050,0.034,0.034,0.034,0.000,0.000
pmed3,100,10,1.067,1.067,1.067,0.024,0.024,0.024,0.000,0.000
pmed4,100,20,1.173,1.173,1.173,0.024,0.024,0.024,0.000,0.000
pmed5,100,33,1.357,1.357,1.357,0.029,0.029,0.029,0.000,0.000
pmed6,200,5,1.016,1.016,1.016,0.048,0.048,0.048,0.000,0.000
pmed7,200,10,1.025,1.025,1.025,0.083,0.083,0.083,0.000,0.000
pmed8,200,20,1.222,1.222,1.222,0.076,0.076,0.076,0.000,0.000
pmed9,200,40,1.197,1.197,1.197,0.117,0.117,0.117,0.000,0.000
pmed10,200,67,1.407,1.407,1.407,0.117,0.117,0.117,0.000,0.000
pmed11,300,5,1.010,1.010,1.010,0.051,0.051,0.051,0.000,0.000
pmed12,300,10,1.021,1.021,1.021,0.069,0.069,0.069,0.000,0.000
pmed13,300,30,1.171,1.171,1.171,0.110,0.110,0.110,0.000,0.000
pmed14,300,60,1.279,1.279,1.279,0.123,0.123,0.123,0.000,0.000
pmed15,300,100,1.455,1.455,1.455,0.102,0.102,0.102,0.000,0.000
pmed16,400,5,1.001,1.001,1.001,0.080,0.080,0.080,0.000,0.000
pmed17,400,10,1.042,1.042,1.042,0.082,0.082,0.082,0.000,0.000
pmed18,400,40,1.095,1.095,1.095,0.185,0.185,0.185,0.000,0.000
pmed19,400,80,1.139,1.139,1.139,0.301,0.301,0.301,0.000,0.000
pmed20,400,133,1.401,1.401,1.401,0.237,0.237,0.237,0.000,0.000
pmed21,500,5,1.010,1.010,1.010,0.057,0.057,0.057,0.000,0.000
pmed22,500,10,1.024,1.024,1.024,0.113,0.113,0.113,0.000,0.000
pmed23,500,50,1.115,1.115,1.115,0.149,0.149,0.149,0.000,0.000
pmed24,500,100,1.179,1.179,1.179,0.385,0.385,0.385,0.000,0.000
pmed25,500,167,1.456,1.456,1.456,0.331,0.331,0.331,0.000,0.000
pmed26,600,5,1.004,1.004,1.004,0.065,0.065,0.065,0.000,0.000
pmed27,600,10,1.007,1.007,1.007,0.116,0.116,0.116,0.000,0.000
pmed28,600,60,1.145,1.145,1.145,0.331,0.331,0.331,0.000,0.000
pmed29,600,120,1.245,1.245,1.245,0.479,0.479,0.479,0.000,0.000
pmed30,600,200,1.389,1.389,1.389,0.419,0.419,0.419,0.000,0.000
pmed31,700,5,1.011,1.011,1.011,0.075,0.075,0.075,0.000,0.000
pmed32,700,10,1.008,1.008,1.008,0.118,0.118,0.118,0.000,0.000
pmed33,700,70,1.123,1.123,1.123,0.452,0.452,0.452,0.000,0.000
pmed34,700,140,1.285,1.285,1.285,0.469,0.469,0.469,0.000,0.000
pmed35,800,5,1.010,1.010,1.010,0.068,0.068,0.068,0.000,0.000
pmed36,800,10,1.008,1.008,1.008,0.135,0.135,0.135,0.000,0.000
pmed37,800,80,1.161,1.161,1.161,0.491,0.491,0.491,0.000,0.000
pmed38,900,5,1.025,1.025,1.025,0.072,0.072,0.072,0.000,0.000
pmed39,900,10,1.000,1.000,1.000,0.141,0.141,0.141,0.000,0.000
pmed40,900,90,1.101,1.101,1.101,0.748,0.748,0.748,0.000,0.000
