Instance,n,k,Optimum,Samei MinR,Samei AvgR,Samei MaxR,Samei AvgTime,Samei StdTime,Zhang MinR,Zhang AvgR,Zhang MaxR,Zhang AvgTime,Zhang StdTime,KUFL MinR,KUFL AvgR,KUFL MaxR,KUFL AvgTime,KUFL StdTime
pmed1,100,5,7623.5,1.000,1.004,1.010,5.015,0.666,1.064,1.064,1.064,2.369,0.290,1.000,1.004,1.010,0.045,0.007
pmed2,100,10,5869.6,1.000,1.015,1.021,29.455,1.475,1.113,1.113,1.113,6.904,0.798,1.000,1.000,1.000,0.172,0.031
pmed3,100,10,5929.9,1.000,1.012,1.025,29.939,0.300,1.188,1.188,1.188,7.387,0.299,1.000,1.003,1.014,0.169,0.013
pmed4,100,20,4633.0,1.186,1.218,1.228,30.037,0.021,1.236,1.236,1.236,23.870,1.153,1.000,1.001,1.004,0.601,0.074
pmed5,100,33,2246.7,1.640,1.677,1.726,30.037,0.020,1.224,1.341,1.435,31.895,0.066,1.000,1.000,1.000,1.754,0.133
pmed6,200,5,9068.0,1.000,1.000,1.000,11.428,0.551,1.027,1.027,1.027,4.690,0.346,1.000,1.000,1.000,0.122,0.001
pmed7,200,10,6691.2,1.044,1.057,1.060,30.076,0.035,1.067,1.067,1.067,16.805,0.815,1.000,1.000,1.000,0.466,0.034
pmed8,200,20,6276.7,1.258,1.262,1.286,30.074,0.046,1.195,1.404,1.550,34.387,0.062,1.000,1.002,1.003,1.921,0.180
pmed9,200,40,3908.4,1.773,1.777,1.794,30.077,0.051,1.592,1.719,1.855,30.669,0.100,1.000,1.000,1.002,3.300,0.299
pmed10,200,67,2370.0,1.578,1.701,1.805,30.081,0.045,1.451,1.562,1.662,42.992,0.146,1.000,1.000,1.001,7.730,0.426
pmed11,300,5,8613.0,1.000,1.000,1.000,16.640,1.726,1.019,1.019,1.019,7.054,0.369,1.000,1.000,1.000,0.124,0.013
pmed12,300,10,8506.2,1.065,1.065,1.065,30.122,0.083,1.037,1.037,1.037,26.309,1.726,1.000,1.000,1.002,0.447,0.024
pmed13,300,30,5946.4,1.359,1.359,1.359,30.112,0.068,1.553,1.671,1.753,38.808,0.191,1.000,1.000,1.000,4.376,0.183
pmed14,300,60,4669.3,1.685,1.778,1.837,30.100,0.050,1.608,1.690,1.760,46.179,0.120,1.000,1.000,1.000,14.705,0.586
pmed15,300,100,3313.0,1.608,1.672,1.742,30.151,0.056,1.582,1.637,1.710,32.491,0.087,1.000,1.000,1.001,33.186,1.678
pmed16,400,5,9065.9,1.000,1.000,1.000,22.916,1.165,1.052,1.052,1.052,11.595,2.012,1.000,1.000,1.000,0.133,0.014
pmed17,400,10,8439.3,1.077,1.098,1.101,30.113,0.080,1.082,1.228,1.352,30.951,0.116,1.000,1.000,1.000,0.557,0.049
pmed18,400,40,12213.7,0.792,0.809,0.814,30.161,0.092,0.881,0.967,1.041,46.379,0.249,0.561,0.562,0.562,8.116,0.407
pmed19,400,80,7600.4,0.950,0.986,1.016,30.161,0.085,0.933,0.965,0.996,42.197,0.255,0.581,0.581,0.581,27.858,1.105
pmed20,400,133,3270.7,1.642,1.698,1.792,30.174,0.071,1.617,1.668,1.759,59.396,0.253,1.000,1.001,1.003,61.913,2.101
pmed21,500,5,10530.4,1.000,1.000,1.000,27.562,1.487,1.064,1.064,1.064,11.897,1.132,1.000,1.000,1.000,0.124,0.010
pmed22,500,10,10191.1,1.093,1.095,1.109,30.176,0.103,1.161,1.387,1.588,31.286,0.164,1.000,1.001,1.002,0.561,0.036
pmed23,500,50,6580.4,1.554,1.557,1.565,30.181,0.111,1.742,1.791,1.888,36.445,0.094,1.000,1.000,1.001,11.830,0.751
pmed24,500,100,4720.5,1.639,1.709,1.812,30.196,0.117,1.609,1.677,1.761,66.227,0.336,1.000,1.000,1.001,41.791,1.813
pmed25,500,167,3375.4,1.655,1.739,1.814,30.264,0.035,1.632,1.715,1.786,93.002,0.182,1.000,1.000,1.001,96.039,5.207
pmed26,600,5,11107.2,1.000,1.008,1.028,30.150,0.146,1.044,1.044,1.044,15.085,1.103,1.000,1.000,1.000,0.130,0.001
pmed27,600,10,9715.9,1.130,1.131,1.131,30.128,0.064,1.201,1.290,1.429,37.547,0.113,1.000,1.000,1.000,0.608,0.043
pmed28,600,60,6129.1,1.616,1.637,1.683,30.176,0.080,1.754,1.862,1.909,52.618,0.178,1.000,1.000,1.002,18.463,0.829
pmed29,600,120,4700.0,1.698,1.747,1.810,30.195,0.108,1.666,1.718,1.784,95.166,0.265,1.000,1.001,1.004,59.419,2.426
