Instance,n,k,Optimum,Samei MinR,Samei AvgR,Samei MaxR,Samei AvgTime,Samei StdTime,Zhang MinR,Zhang AvgR,Zhang MaxR,Zhang AvgTime,Zhang StdTime,KUFL MinR,KUFL AvgR,KUFL MaxR,KUFL AvgTime,KUFL StdTime
pmed1,100,5,7623.5,1.145,1.145,1.145,31.586,0.474,1.179,1.283,1.294,33.264,3.37,1.01,1.01,1.01,2.045,0.087
pmed2,100,10,5869.6,1.034,1.047,1.05,30.039,0.026,1.113,1.113,1.113,10.025,0.919,1.0,1.0,1.0,0.265,0.027
pmed3,100,10,5929.9,1.047,1.052,1.056,30.054,0.025,1.188,1.188,1.188,10.097,0.713,1.014,1.014,1.014,0.228,0.005
pmed4,100,20,4633.0,1.243,1.275,1.279,30.056,0.033,1.206,1.23,1.236,30.508,0.361,1.0,1.0,1.0,0.868,0.01
pmed5,100,33,2246.7,1.788,1.788,1.788,30.055,0.029,1.481,1.481,1.481,31.413,1.048,1.0,1.0,1.0,2.314,0.057
pmed6,200,5,9068.0,1.0,1.0,1.0,14.894,1.214,1.027,1.027,1.027,5.836,0.059,1.0,1.0,1.0,0.155,0.003
pmed7,200,10,6691.2,1.057,1.071,1.085,30.091,0.045,1.067,1.067,1.067,21.038,0.863,1.0,1.0,1.0,0.617,0.01
pmed8,200,20,6276.7,1.31,1.312,1.315,30.081,0.055,1.761,1.761,1.761,31.179,1.711,1.0,1.0,1.0,2.548,0.012
pmed9,200,40,3908.4,1.85,1.861,1.94,30.056,0.051,1.863,1.863,1.863,40.884,0.196,1.0,1.0,1.0,4.261,0.055
pmed10,200,67,2370.0,1.688,1.688,1.688,30.099,0.059,1.552,1.552,1.552,38.185,0.11,1.0,1.0,1.0,9.156,0.051
pmed11,300,5,8613.0,1.0,1.0,1.0,22.217,0.132,1.019,1.019,1.019,9.592,0.042,1.0,1.0,1.0,0.161,0.006
pmed12,300,10,8506.2,1.095,1.095,1.095,30.113,0.086,1.037,1.037,1.037,31.468,0.184,1.0,1.0,1.0,0.641,0.01
pmed13,300,30,5946.4,1.394,1.394,1.394,30.168,0.085,1.928,1.928,1.928,33.984,0.13,1.0,1.0,1.0,5.997,0.051
pmed14,300,60,4669.3,1.901,1.917,1.927,30.171,0.08,1.94,1.94,1.94,30.336,0.115,1.0,1.0,1.0,21.061,0.066
pmed15,300,100,3313.0,1.659,1.659,1.659,30.095,0.089,1.605,1.605,1.605,42.426,0.206,1.0,1.0,1.0,38.196,0.106
pmed16,400,5,9065.9,1.0,1.0,1.0,29.543,0.346,1.052,1.052,1.052,14.681,0.047,1.0,1.0,1.0,0.162,0.003
pmed17,400,10,8439.3,1.101,1.114,1.144,30.148,0.124,1.315,1.438,1.468,38.586,0.994,1.0,1.0,1.0,0.705,0.042
pmed18,400,40,6856.8,1.449,1.493,1.519,30.252,0.152,1.815,1.93,1.959,41.504,10.101,1.0,1.0,1.0,12.758,2.708
pmed19,400,80,4412.9,1.964,1.964,1.964,30.199,0.107,1.902,1.902,1.902,61.495,5.974,1.0,1.0,1.0,42.057,5.272
pmed20,400,133,3270.7,1.601,1.601,1.601,30.235,0.103,1.57,1.57,1.57,84.597,6.778,1.0,1.0,1.0,88.116,8.318
pmed21,500,5,10530.4,1.0,1.023,1.028,30.313,0.146,1.064,1.064,1.064,18.491,2.582,1.0,1.0,1.0,0.199,0.023
pmed22,500,10,10191.1,1.13,1.131,1.131,30.286,0.203,1.311,1.392,1.427,37.432,1.28,1.002,1.002,1.002,0.876,0.089
pmed23,500,50,6580.4,1.554,1.628,1.636,30.306,0.189,2.174,2.174,2.174,55.279,4.728,1.001,1.001,1.001,15.98,2.17
pmed24,500,100,4720.5,1.868,1.868,1.868,30.466,0.228,1.827,1.827,1.827,95.641,7.833,1.001,1.001,1.001,62.903,6.192
pmed25,500,167,3375.4,1.655,1.655,1.655,30.287,0.179,1.607,1.607,1.607,137.77,8.269,1.0,1.0,1.0,123.527,7.707
pmed26,600,5,11107.2,1.028,1.028,1.028,30.334,0.267,1.044,1.044,1.044,27.079,0.194,1.0,1.0,1.0,0.215,0.019
pmed27,600,10,9715.9,1.131,1.139,1.171,30.43,0.211,1.711,1.839,1.924,35.563,6.778,1.0,1.0,1.0,0.93,0.008
pmed28,600,60,6129.1,1.683,1.684,1.685,30.277,0.176,2.223,2.223,2.223,74.49,8.884,1.002,1.002,1.002,26.559,0.691
pmed29,600,120,4700.0,2.024,2.024,2.024,30.311,0.175,1.956,1.956,1.956,110.288,4.129,1.0,1.0,1.0,78.291,11.256
pmed30,600,200,3763.1,1.635,1.635,1.635,30.253,0.128,1.609,1.609,1.609,158.253,10.527,1.001,1.001,1.001,162.795,7.807
pmed31,700,5,12465.9,1.028,1.028,1.029,30.43,0.28,1.046,1.046,1.046,31.006,0.307,1.0,1.0,1.0,0.201,0.003
pmed32,700,10,10673.6,1.168,1.168,1.168,30.344,0.236,1.578,1.578,1.578,38.068,0.456,1.0,1.0,1.0,0.676,0.006
pmed33,700,70,6509.8,1.799,1.799,1.799,30.704,0.368,2.248,2.248,2.248,80.894,1.339,1.0,1.0,1.0,29.562,0.6
pmed34,700,140,4823.0,1.931,1.931,1.931,30.637,0.268,1.885,1.885,1.885,146.797,1.295,1.0,1.0,1.0,101.978,1.27
pmed35,800,5,11905.8,1.074,1.074,1.074,30.702,0.4,1.002,1.051,1.084,33.084,3.331,1.0,1.0,1.0,0.189,0.009
pmed36,800,10,11595.4,1.219,1.22,1.221,30.599,0.432,1.601,1.625,1.841,43.02,3.569,1.0,1.0,1.0,0.926,0.101
pmed37,800,80,6974.4,1.999,1.999,1.999,30.681,0.369,2.268,2.268,2.268,114.692,6.845,1.0,1.0,1.0,41.323,3.481
pmed38,900,5,12027.2,1.086,1.086,1.086,30.843,0.406,1.191,1.191,1.191,33.187,0.364,1.0,1.0,1.0,0.257,0.012
pmed39,900,10,10753.5,1.212,1.212,1.212,30.734,0.303,1.64,1.64,1.64,32.99,0.568,1.0,1.0,1.0,0.815,0.028
pmed40,900,90,7084.3,1.973,1.975,1.975,31.063,0.368,2.225,2.225,2.225,139.292,1.221,1.001,1.001,1.001,54.247,1.062
