Instance,n,k,Optimum,Samei MinR,Samei AvgR,Samei MaxR,Samei AvgTime,Samei StdTime,Zhang MinR,Zhang AvgR,Zhang MaxR,Zhang AvgTime,Zhang StdTime,KUFL MinR,KUFL AvgR,KUFL MaxR,KUFL AvgTime,KUFL StdTime
pmed1,100,5,7623.5,1.01,1.01,1.01,31.617,0.871,1.064,1.07,1.08,37.974,6.177,1.01,1.01,1.01,0.325,0.031
pmed2,100,10,5869.6,1.0,1.0,1.0,19.246,1.684,1.113,1.113,1.113,4.065,0.023,1.0,1.0,1.0,0.082,0.006
pmed3,100,10,5929.9,1.007,1.007,1.007,19.577,1.052,1.188,1.188,1.188,5.106,0.021,1.007,1.007,1.007,0.063,0.001
pmed4,100,20,4633.0,1.004,1.004,1.004,30.052,0.023,1.236,1.236,1.236,16.477,0.071,1.0,1.0,1.0,0.082,0.003
pmed5,100,33,2246.7,1.026,1.026,1.026,30.043,0.023,1.201,1.201,1.201,31.276,0.136,1.0,1.0,1.0,0.298,0.005
pmed6,200,5,9068.0,1.0,1.0,1.0,6.684,0.572,1.027,1.027,1.027,1.898,0.007,1.0,1.0,1.0,0.051,0.001
pmed7,200,10,6691.2,1.0,1.001,1.006,29.826,0.497,1.067,1.067,1.067,11.026,0.059,1.0,1.0,1.0,0.143,0.001
pmed8,200,20,6276.7,1.034,1.034,1.034,30.084,0.051,1.031,1.031,1.031,34.686,0.359,1.002,1.002,1.002,0.84,0.016
pmed9,200,40,3908.4,1.024,1.024,1.024,30.098,0.044,1.033,1.033,1.033,37.192,0.183,1.002,1.002,1.002,0.726,0.013
pmed10,200,67,2370.0,1.012,1.012,1.012,30.133,0.051,1.033,1.033,1.033,35.262,0.201,1.001,1.001,1.001,1.236,0.013
pmed11,300,5,8613.0,1.0,1.0,1.0,7.378,0.776,1.019,1.019,1.019,4.379,0.013,1.0,1.0,1.0,0.027,0.001
pmed12,300,10,8506.2,1.023,1.027,1.038,30.167,0.057,1.037,1.037,1.037,17.13,0.105,1.0,1.0,1.0,0.104,0.002
pmed13,300,30,5946.4,1.006,1.006,1.006,30.108,0.075,1.014,1.014,1.014,31.302,0.223,1.0,1.0,1.0,0.531,0.011
pmed14,300,60,4669.3,1.027,1.027,1.027,30.14,0.091,1.011,1.011,1.011,54.746,0.617,1.0,1.0,1.0,2.752,0.035
pmed15,300,100,3313.0,1.027,1.027,1.027,30.124,0.078,1.015,1.015,1.015,37.951,0.157,1.0,1.0,1.0,5.847,0.087
pmed16,400,5,9065.9,1.0,1.0,1.0,9.693,1.317,1.052,1.052,1.052,5.716,0.058,1.0,1.0,1.0,0.027,0.001
pmed17,400,10,8439.3,1.0,1.0,1.0,30.247,0.158,1.02,1.02,1.02,35.859,1.974,1.0,1.0,1.0,0.06,0.001
pmed18,400,40,6856.8,1.012,1.012,1.012,30.156,0.104,1.011,1.011,1.011,54.222,0.555,1.001,1.001,1.001,0.962,0.017
pmed19,400,80,4412.9,1.036,1.036,1.036,30.198,0.127,1.039,1.039,1.039,49.594,0.726,1.0,1.0,1.0,6.669,0.212
pmed20,400,133,3270.7,1.031,1.031,1.031,30.203,0.096,1.028,1.028,1.028,69.098,0.42,1.001,1.001,1.001,17.566,0.184
pmed21,500,5,10530.4,1.0,1.0,1.0,12.63,1.513,1.064,1.064,1.064,7.307,0.035,1.0,1.0,1.0,0.029,0.001
pmed22,500,10,10191.1,1.002,1.002,1.002,30.297,0.17,1.028,1.028,1.028,36.802,0.205,1.002,1.002,1.002,0.063,0.002
pmed23,500,50,6580.4,1.034,1.034,1.034,30.307,0.128,1.018,1.018,1.018,43.517,0.327,1.001,1.001,1.001,2.494,0.014
pmed24,500,100,4720.5,1.019,1.019,1.019,30.243,0.132,1.018,1.018,1.018,79.259,0.418,1.001,1.001,1.001,7.653,0.087
pmed25,500,167,3375.4,1.044,1.044,1.044,30.244,0.118,1.042,1.042,1.042,111.907,0.759,1.001,1.001,1.001,21.011,0.603
pmed26,600,5,11107.2,1.0,1.0,1.0,14.435,1.517,1.044,1.044,1.044,11.7,0.203,1.0,1.0,1.0,0.031,0.001
pmed27,600,10,9715.9,1.012,1.012,1.012,30.313,0.167,1.011,1.011,1.011,33.932,0.123,1.0,1.0,1.0,0.199,0.006
pmed28,600,60,6129.1,1.037,1.037,1.037,30.251,0.175,1.03,1.03,1.03,63.627,0.445,1.002,1.002,1.002,4.43,0.026
pmed29,600,120,4700.0,1.024,1.024,1.024,30.339,0.141,1.019,1.019,1.019,116.761,0.727,1.001,1.001,1.001,10.104,0.507
pmed30,600,200,3763.1,1.023,1.023,1.023,30.282,0.141,1.016,1.016,1.016,167.94,2.031,1.001,1.001,1.001,23.25,0.952
pmed31,700,5,12465.9,1.001,1.001,1.001,29.393,1.54,1.043,1.046,1.046,33.646,1.411,1.001,1.001,1.001,0.062,0.003
pmed32,700,10,10673.6,1.008,1.008,1.008,30.493,0.349,1.013,1.029,1.03,39.654,3.15,1.0,1.0,1.0,0.14,0.003
pmed33,700,70,6509.8,1.038,1.038,1.038,30.533,0.275,1.029,1.029,1.029,90.083,1.624,1.0,1.0,1.0,9.187,0.082
pmed34,700,140,4823.0,1.017,1.017,1.017,30.512,0.221,1.014,1.014,1.014,164.358,1.915,1.0,1.0,1.0,18.728,0.707
pmed35,800,5,11905.8,1.0,1.0,1.0,28.247,2.718,1.002,1.002,1.002,23.928,1.189,1.0,1.0,1.0,0.04,0.002
pmed36,800,10,11595.4,1.007,1.007,1.007,30.615,0.417,1.036,1.036,1.036,31.547,1.025,1.0,1.0,1.0,0.155,0.011
pmed37,800,80,6974.4,1.025,1.025,1.025,30.916,0.399,1.011,1.011,1.011,114.967,2.395,1.0,1.0,1.0,5.034,0.065
pmed38,900,5,12027.2,1.0,1.006,1.007,31.116,0.411,1.02,1.02,1.02,34.192,0.738,1.0,1.0,1.0,0.116,0.002
pmed39,900,10,10753.5,1.014,1.014,1.014,30.97,0.427,1.008,1.008,1.008,33.89,0.185,1.0,1.0,1.0,0.292,0.007
pmed40,900,90,7084.3,1.037,1.037,1.037,30.812,0.435,1.032,1.032,1.032,149.933,3.044,1.001,1.001,1.001,15.69,0.408
