n,k,Samei MinR,Samei AvgR,Samei MaxR,Samei AvgTime,Samei StdTime,Zhang MinR,Zhang AvgR,Zhang MaxR,Zhang AvgTime,Zhang StdTime,KUFL MinR,KUFL AvgR,KUFL MaxR,KUFL AvgTime,KUFL StdTime
20,2,1.0,1.0,1.019,0.126,0.02,1.0,1.096,1.419,0.096,0.016,1.0,1.0,1.019,0.007,0.011
20,5,1.0,1.0,1.018,0.827,0.133,1.0,1.195,1.445,0.352,0.056,1.0,1.0,1.018,0.023,0.005
20,10,1.0,1.001,1.045,3.074,0.391,1.12,1.375,1.695,0.738,0.115,1.0,1.001,1.045,0.053,0.011
30,2,1.0,1.002,1.098,0.194,0.031,1.0,1.078,1.493,0.146,0.025,1.0,1.002,1.098,0.006,0.001
30,5,1.0,1.002,1.03,1.512,0.202,1.0,1.162,1.462,0.621,0.094,1.0,1.002,1.03,0.026,0.005
30,10,1.0,1.0,1.021,6.567,0.855,1.033,1.237,1.495,1.615,0.291,1.0,1.0,1.021,0.069,0.012
40,2,1.0,1.002,1.067,0.261,0.044,1.0,1.062,1.319,0.199,0.037,1.0,1.002,1.067,0.006,0.001
40,5,1.0,1.0,1.024,2.751,0.573,1.0,1.114,1.313,1.191,0.173,1.0,1.0,1.024,0.036,0.008
40,10,1.0,1.001,1.029,13.819,1.624,1.0,1.215,1.457,2.776,0.4,1.0,1.001,1.029,0.085,0.013
50,2,1.0,1.003,1.144,0.386,0.066,1.0,1.06,1.442,0.277,0.052,1.0,1.003,1.144,0.007,0.001
50,5,1.0,1.001,1.046,3.237,0.571,1.0,1.112,1.447,1.255,0.178,1.0,1.001,1.046,0.03,0.006
50,10,1.0,1.001,1.012,16.073,1.801,1.02,1.183,1.403,3.605,0.435,1.0,1.001,1.012,0.092,0.015
60,2,1.0,1.003,1.104,0.438,0.064,1.0,1.049,1.3,0.327,0.056,1.0,1.003,1.104,0.012,0.002
60,5,1.0,1.002,1.055,3.727,0.483,1.0,1.103,1.403,1.5,0.222,1.0,1.002,1.055,0.059,0.011
60,10,1.0,1.001,1.019,19.954,2.203,1.022,1.172,1.392,4.535,0.519,1.0,1.001,1.019,0.096,0.013
70,2,1.0,1.002,1.085,0.529,0.081,1.0,1.031,1.267,0.389,0.059,1.0,1.002,1.085,0.013,0.003
70,5,1.0,1.001,1.037,4.488,0.57,1.0,1.079,1.222,1.806,0.239,1.0,1.001,1.037,0.058,0.01
70,10,1.0,1.001,1.019,25.008,2.615,1.011,1.135,1.245,5.653,0.594,1.0,1.001,1.019,0.196,0.028
80,2,1.0,1.005,1.103,0.631,0.113,1.0,1.02,1.197,0.461,0.067,1.0,1.005,1.103,0.014,0.003
80,5,1.0,1.002,1.032,5.279,0.597,1.0,1.068,1.241,2.099,0.266,1.0,1.002,1.032,0.06,0.011
80,10,1.0,1.009,1.06,28.592,1.875,1.0,1.127,1.287,6.666,0.719,1.0,1.002,1.026,0.198,0.027
90,2,1.0,1.005,1.091,0.683,0.116,1.0,1.022,1.151,0.508,0.091,1.0,1.005,1.091,0.013,0.003
90,5,1.0,1.003,1.057,6.033,0.726,1.0,1.064,1.229,2.451,0.313,1.0,1.003,1.057,0.061,0.01
90,10,1.0,1.027,1.074,29.818,0.795,1.0,1.111,1.239,7.583,0.819,1.0,1.001,1.023,0.194,0.025
100,2,1.0,1.005,1.073,0.775,0.138,1.0,1.034,1.296,0.579,0.106,1.0,1.005,1.073,0.014,0.003
100,5,1.0,1.002,1.039,6.822,0.82,1.0,1.05,1.137,2.672,0.328,1.0,1.002,1.039,0.063,0.011
100,10,1.0,1.035,1.111,29.926,0.614,1.013,1.096,1.279,7.424,0.7,1.0,1.002,1.023,0.178,0.024
