Instance,N,K,Min Ratio,Average Ratio,Max Ratio,Min Time,Average Time,Max Time,Standard Deviation (Ratio),Standard Deviation (Time)
pmed1,100,5,1.000,1.000,1.000,0.049,0.049,0.049,0.000,0.000
pmed2,100,10,1.083,1.083,1.083,0.202,0.202,0.202,0.000,0.000
pmed3,100,10,1.000,1.000,1.000,0.014,0.014,0.014,0.000,0.000
pmed4,100,20,1.004,1.004,1.004,0.037,0.037,0.037,0.000,0.000
pmed5,100,33,1.001,1.001,1.001,0.112,0.112,0.112,0.000,0.000
pmed6,200,5,1.000,1.000,1.000,0.009,0.009,0.009,0.000,0.000
pmed7,200,10,1.000,1.000,1.000,0.018,0.018,0.018,0.000,0.000
pmed8,200,20,1.002,1.002,1.002,0.072,0.072,0.072,0.000,0.000
pmed9,200,40,1.030,1.030,1.030,0.202,0.202,0.202,0.000,0.000
pmed10,200,67,1.100,1.100,1.100,0.203,0.203,0.203,0.000,0.000
pmed11,300,5,1.000,1.000,1.000,0.020,0.020,0.020,0.000,0.000
pmed12,300,10,0.978,0.978,0.978,0.021,0.021,0.021,0.000,0.000
pmed13,300,30,1.000,1.000,1.000,0.197,0.197,0.197,0.000,0.000
pmed14,300,60,1.050,1.050,1.050,0.204,0.204,0.204,0.000,0.000
pmed15,300,100,1.128,1.128,1.128,0.204,0.204,0.204,0.000,0.000
pmed16,400,5,1.000,1.000,1.000,0.012,0.012,0.012,0.000,0.000
pmed17,400,10,1.002,1.002,1.002,0.017,0.017,0.017,0.000,0.000
pmed18,400,40,1.009,1.009,1.009,0.205,0.205,0.205,0.000,0.000
pmed19,400,80,1.054,1.054,1.054,0.206,0.206,0.206,0.000,0.000
pmed20,400,133,1.211,1.211,1.211,0.205,0.205,0.205,0.000,0.000
pmed21,500,5,1.000,1.000,1.000,0.015,0.015,0.015,0.000,0.000
pmed22,500,10,1.010,1.010,1.010,0.029,0.029,0.029,0.000,0.000
pmed23,500,50,1.018,1.018,1.018,0.206,0.206,0.206,0.000,0.000
pmed24,500,100,1.085,1.085,1.085,0.207,0.207,0.207,0.000,0.000
pmed25,500,167,1.214,1.214,1.214,0.207,0.207,0.207,0.000,0.000
pmed26,600,5,1.000,1.000,1.000,0.013,0.013,0.013,0.000,0.000
pmed27,600,10,1.000,1.000,1.000,0.034,0.034,0.034,0.000,0.000
pmed28,600,60,1.017,1.017,1.017,0.208,0.208,0.208,0.000,0.000
pmed29,600,120,1.114,1.114,1.114,0.208,0.208,0.208,0.000,0.000
pmed30,600,200,1.203,1.203,1.203,0.207,0.207,0.207,0.000,0.000
pmed31,700,5,1.000,1.000,1.000,0.013,0.013,0.013,0.000,0.000
pmed32,700,10,1.000,1.000,1.000,0.035,0.035,0.035,0.000,0.000
pmed33,700,70,1.027,1.027,1.027,0.210,0.210,0.210,0.000,0.000
pmed34,700,140,1.166,1.166,1.166,0.208,0.208,0.208,0.000,0.000
pmed35,800,5,1.000,1.000,1.000,0.021,0.021,0.021,0.000,0.000
pmed36,800,10,1.004,1.004,1.004,0.037,0.037,0.037,0.000,0.000
pmed37,800,80,1.050,1.050,1.050,0.211,0.211,0.211,0.000,0.000
pmed38,900,5,1.000,1.000,1.000,0.033,0.033,0.033,0.000,0.000
pmed39,900,10,1.000,1.000,1.000,0.047,0.047,0.047,0.000,0.000
pmed40,900,90,1.052,1.052,1.052,0.211,0.211,0.211,0.000,0.000
