Instance,N,K,Min Ratio,Average Ratio,Max Ratio,Min Time,Average Time,Max Time,Standard Deviation (Ratio),Standard Deviation (Time)
pmed1,100,5,1.488,1.488,1.488,0.329,0.329,0.329,0.000,0.000
pmed2,100,10,1.013,1.013,1.013,0.090,0.090,0.090,0.000,0.000
pmed3,100,10,1.000,1.000,1.000,0.117,0.117,0.117,0.000,0.000
pmed4,100,20,1.013,1.013,1.013,0.203,0.203,0.203,0.000,0.000
pmed5,100,33,1.078,1.078,1.078,0.203,0.203,0.203,0.000,0.000
pmed6,200,5,1.000,1.000,1.000,0.140,0.140,0.140,0.000,0.000
pmed7,200,10,1.001,1.001,1.001,0.188,0.188,0.188,0.000,0.000
pmed8,200,20,1.109,1.109,1.109,0.211,0.211,0.211,0.000,0.000
pmed9,200,40,1.142,1.142,1.142,0.206,0.206,0.206,0.000,0.000
pmed10,200,67,1.441,1.441,1.441,0.209,0.209,0.209,0.000,0.000
pmed11,300,5,1.000,1.000,1.000,0.139,0.139,0.139,0.000,0.000
pmed12,300,10,1.006,1.006,1.006,0.206,0.206,0.206,0.000,0.000
pmed13,300,30,1.074,1.074,1.074,0.209,0.209,0.209,0.000,0.000
pmed14,300,60,1.175,1.175,1.175,0.212,0.212,0.212,0.000,0.000
pmed15,300,100,1.293,1.293,1.293,0.208,0.208,0.208,0.000,0.000
pmed16,400,5,1.000,1.000,1.000,0.155,0.155,0.155,0.000,0.000
pmed17,400,10,1.000,1.000,1.000,0.208,0.208,0.208,0.000,0.000
pmed18,400,40,1.066,1.066,1.066,0.210,0.210,0.210,0.000,0.000
pmed19,400,80,1.215,1.215,1.215,0.211,0.211,0.211,0.000,0.000
pmed20,400,133,1.556,1.556,1.556,0.213,0.213,0.213,0.000,0.000
pmed21,500,5,1.000,1.000,1.000,0.099,0.099,0.099,0.000,0.000
pmed22,500,10,1.002,1.002,1.002,0.209,0.209,0.209,0.000,0.000
pmed23,500,50,1.128,1.128,1.128,0.214,0.214,0.214,0.000,0.000
pmed24,500,100,1.289,1.289,1.289,0.224,0.224,0.224,0.000,0.000
pmed25,500,167,1.468,1.468,1.468,0.223,0.223,0.223,0.000,0.000
pmed26,600,5,1.001,1.001,1.001,0.099,0.099,0.099,0.000,0.000
pmed27,600,10,1.010,1.010,1.010,0.215,0.215,0.215,0.000,0.000
pmed28,600,60,1.219,1.219,1.219,0.218,0.218,0.218,0.000,0.000
pmed29,600,120,1.362,1.362,1.362,0.223,0.223,0.223,0.000,0.000
pmed30,600,200,1.504,1.504,1.504,0.230,0.230,0.230,0.000,0.000
pmed31,700,5,1.000,1.000,1.000,0.148,0.148,0.148,0.000,0.000
pmed32,700,10,1.002,1.002,1.002,0.211,0.211,0.211,0.000,0.000
pmed33,700,70,1.264,1.264,1.264,0.233,0.233,0.233,0.000,0.000
pmed34,700,140,1.392,1.392,1.392,0.216,0.216,0.216,0.000,0.000
pmed35,800,5,1.000,1.000,1.000,0.211,0.211,0.211,0.000,0.000
pmed36,800,10,1.002,1.002,1.002,0.208,0.208,0.208,0.000,0.000
pmed37,800,80,1.240,1.240,1.240,0.228,0.228,0.228,0.000,0.000
pmed38,900,5,1.000,1.000,1.000,0.210,0.210,0.210,0.000,0.000
pmed39,900,10,1.001,1.001,1.001,0.208,0.208,0.208,0.000,0.000
pmed40,900,90,1.287,1.287,1.287,0.229,0.229,0.229,0.000,0.000
