N,K,Min Ratio,Average Ratio,Max Ratio,Min Time,Average Time,Max Time,Standard Deviation (Ratio),Standard Deviation (Time)
20,2,1.028,1.028,1.028,0.005,0.005,0.005,0.000,0.000
20,2,1.137,1.137,1.137,0.004,0.004,0.004,0.000,0.000
20,2,1.165,1.165,1.165,0.006,0.006,0.006,0.000,0.000
20,2,1.055,1.055,1.055,0.006,0.006,0.006,0.000,0.000
20,2,1.152,1.152,1.152,0.004,0.004,0.004,0.000,0.000
20,2,1.159,1.159,1.159,0.004,0.004,0.004,0.000,0.000
20,2,1.233,1.233,1.233,0.004,0.004,0.004,0.000,0.000
20,2,1.026,1.026,1.026,0.005,0.005,0.005,0.000,0.000
20,2,1.173,1.173,1.173,0.005,0.005,0.005,0.000,0.000
20,2,1.106,1.106,1.106,0.004,0.004,0.004,0.000,0.000
20,2,1.003,1.003,1.003,0.005,0.005,0.005,0.000,0.000
20,2,1.279,1.279,1.279,0.004,0.004,0.004,0.000,0.000
20,2,1.156,1.156,1.156,0.004,0.004,0.004,0.000,0.000
20,2,1.243,1.243,1.243,0.004,0.004,0.004,0.000,0.000
20,2,1.044,1.044,1.044,0.004,0.004,0.004,0.000,0.000
20,2,1.019,1.019,1.019,0.004,0.004,0.004,0.000,0.000
20,2,1.098,1.098,1.098,0.005,0.005,0.005,0.000,0.000
20,2,1.208,1.208,1.208,0.004,0.004,0.004,0.000,0.000
20,2,1.047,1.047,1.047,0.006,0.006,0.006,0.000,0.000
20,2,1.412,1.412,1.412,0.005,0.005,0.005,0.000,0.000
20,2,1.048,1.048,1.048,0.004,0.004,0.004,0.000,0.000
20,2,1.043,1.043,1.043,0.006,0.006,0.006,0.000,0.000
20,2,1.045,1.045,1.045,0.004,0.004,0.004,0.000,0.000
20,2,1.075,1.075,1.075,0.004,0.004,0.004,0.000,0.000
20,2,1.008,1.008,1.008,0.004,0.004,0.004,0.000,0.000
20,2,1.049,1.049,1.049,0.005,0.005,0.005,0.000,0.000
20,2,1.250,1.250,1.250,0.005,0.005,0.005,0.000,0.000
20,2,1.129,1.129,1.129,0.004,0.004,0.004,0.000,0.000
20,2,1.105,1.105,1.105,0.004,0.004,0.004,0.000,0.000
20,2,1.045,1.045,1.045,0.006,0.006,0.006,0.000,0.000
20,2,1.081,1.081,1.081,0.004,0.004,0.004,0.000,0.000
20,2,1.267,1.267,1.267,0.005,0.005,0.005,0.000,0.000
20,2,1.027,1.027,1.027,0.004,0.004,0.004,0.000,0.000
20,2,1.098,1.098,1.098,0.004,0.004,0.004,0.000,0.000
20,2,1.167,1.167,1.167,0.008,0.008,0.008,0.000,0.000
20,2,1.004,1.004,1.004,0.004,0.004,0.004,0.000,0.000
20,2,1.064,1.064,1.064,0.004,0.004,0.004,0.000,0.000
